ï»¿Category,Organisation Name,Country,Short Description,Website URL,Category/Focus,Contact Name,Phone,Email,Unnamed: 9,Unnamed: 10
Poverty Alleviation & Social Services,Caritas Ã¢ËÅ¡ÃÂ±sterreich,Austria,"Provides social welfare, refugee assistance, and poverty relief services",https://www.caritas.at,Poverty Alleviation & Social Services,General Inquiries,+43 1 48831-0,online@caritas-austria.at,,
Poverty Alleviation & Social Services,Diakonie Ã¢ËÅ¡ÃÂ±sterreich,Austria,Church-based social services including care for the elderly and homeless,https://www.diakonie.at,Poverty Alleviation & Social Services,General Inquiries,+43 1 4098005,office@diakonie.at,,
Poverty Alleviation & Social Services,Volkshilfe Ã¢ËÅ¡ÃÂ±sterreich,Austria,"Focuses on poverty reduction, elderly care, and child welfare",https://www.volkshilfe.at,Poverty Alleviation & Social Services,General Inquiries,+43 1 4026209,office@volkshilfe.at,,
Poverty Alleviation & Social Services,Wiener Tafel,Austria,Food bank redistributing surplus food to those in need,https://www.wienertafel.at,Poverty Alleviation & Social Services,General Inquiries,+43 1 2365522,office@wienertafel.at,,
Poverty Alleviation & Social Services,Neunerhaus,Austria,"Supports homeless people with housing, medical care, and counseling",https://www.neunerhaus.at,Poverty Alleviation & Social Services,General Inquiries,+43 1 9900999,office@neunerhaus.at,,
Poverty Alleviation & Social Services,Caritas International Belgium,Belgium,"Provides social services, refugee aid, and poverty relief",https://www.caritasinternational.be,Poverty Alleviation & Social Services,General Inquiries,+32 2 2293611,info@caritasint.be,,
Poverty Alleviation & Social Services,Oxfam-SolidaritÃ¢ËÅ¡ÃÂ© Belgium,Belgium,"Fights poverty through fair trade, development projects, and advocacy",https://www.oxfamsol.be,Poverty Alleviation & Social Services,General Inquiries,+32 2 5016736,info@oxfamsol.be,,
Poverty Alleviation & Social Services,Les Restos du Coeur Belgique,Belgium,Provides free meals and social services to those in need,https://www.restosducoeur.be,Poverty Alleviation & Social Services,General Inquiries,+32 2 5373333,info@restosducoeur.be,,
Poverty Alleviation & Social Services,Entraide & FraternitÃ¢ËÅ¡ÃÂ©,Belgium,Supports social development and poverty reduction through community programs,https://www.entraide.be,Poverty Alleviation & Social Services,General Inquiries,+32 2 2276680,info@entraide.be,,
Poverty Alleviation & Social Services,Caritas Bulgaria,Bulgaria,Provides healthcare and social services to vulnerable communities,https://caritas.bg,Poverty Alleviation & Social Services,General Inquiries,+359 2 9441858,caritas@caritas.bg,,
